ny,nx,param,multiplier,param_value,predicted_time_seconds,normalized_time,predicted_tflops,bottleneck,base_time_seconds
224,224,peak_fp32_tflops,0.8,12.0,0.0015261452673267326,1.25,2.424,compute,0.0012209162138613861
224,224,peak_fp32_tflops,0.9,13.5,0.0013565735709570956,1.1111111111111112,2.727,compute,0.0012209162138613861
224,224,peak_fp32_tflops,1.0,15.0,0.0012209162138613861,1.0,3.03,compute,0.0012209162138613861
224,224,peak_fp32_tflops,1.1,16.5,0.0011099238307830783,0.9090909090909091,3.333,compute,0.0012209162138613861
224,224,peak_fp32_tflops,1.2,18.0,0.0010174301782178217,0.8333333333333333,3.636,compute,0.0012209162138613861
224,224,compute_efficiency_base,0.8,0.16160000000000002,0.0015223770074074075,1.2469135802469136,2.43,compute,0.0012209162138613861
224,224,compute_efficiency_base,0.9,0.18180000000000002,0.0013565735709570954,1.111111111111111,2.7270000000000003,compute,0.0012209162138613861
224,224,compute_efficiency_base,1.0,0.202,0.0012209162138613861,1.0,3.03,compute,0.0012209162138613861
224,224,compute_efficiency_base,1.1,0.22220000000000004,0.001109923830783078,0.9090909090909088,3.333000000000001,compute,0.0012209162138613861
224,224,compute_efficiency_base,1.2,0.2424,0.0010174301782178217,0.8333333333333333,3.636,compute,0.0012209162138613861
224,224,dram_bandwidth_GBps,0.8,522.24,0.0012209162138613861,1.0,3.03,compute,0.0012209162138613861
224,224,dram_bandwidth_GBps,0.9,587.52,0.0012209162138613861,1.0,3.03,compute,0.0012209162138613861
224,224,dram_bandwidth_GBps,1.0,652.8,0.0012209162138613861,1.0,3.03,compute,0.0012209162138613861
224,224,dram_bandwidth_GBps,1.1,718.08,0.0012209162138613861,1.0,3.03,compute,0.0012209162138613861
224,224,dram_bandwidth_GBps,1.2,783.3599999999999,0.0012209162138613861,1.0,3.03,compute,0.0012209162138613861
224,224,l2_bandwidth_GBps,0.8,1600.0,0.0012209162138613861,1.0,3.03,compute,0.0012209162138613861
224,224,l2_bandwidth_GBps,0.9,1800.0,0.0012209162138613861,1.0,3.03,compute,0.0012209162138613861
224,224,l2_bandwidth_GBps,1.0,2000.0,0.0012209162138613861,1.0,3.03,compute,0.0012209162138613861
224,224,l2_bandwidth_GBps,1.1,2200.0,0.0012209162138613861,1.0,3.03,compute,0.0012209162138613861
224,224,l2_bandwidth_GBps,1.2,2400.0,0.0012209162138613861,1.0,3.03,compute,0.0012209162138613861
